animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,Mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,Mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Bug
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,Bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,Bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,Bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,Mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,Mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,Bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,Invertebrate
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,Mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,Invertebrate
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,Mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,Invertebrate
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,Fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,Bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,Bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,Bug
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird
